function,Accuracy,RMSE,F1,F1 neg,tnr,fpr,fnr,tpr,tn,fp,fn,tp,train,test,self/cross
AR ground truth,0.9757,0.156,0.9857,0.919,0.899,0.101,0.0104,0.99,471,53,30,2857,H1,H1,self
AR ground truth,0.9435,0.2378,0.957,0.9174,0.924,0.0759,0.0466,0.953,633,52,62,1269,H2,H2,self
AR ground truth,0.9506,0.2222,0.9699,0.8625,0.825,0.175,0.0205,0.98,624,132,67,3209,H3,H3,self
AR ground truth,0.9395,0.246,0.9531,0.9146,0.953,0.0467,0.0676,0.932,653,32,90,1241,H1,H2,cross
AR ground truth,0.9444,0.2357,0.9663,0.8409,0.783,0.217,0.0183,0.982,592,164,60,3216,H1,H3,cross
AR ground truth,0.9795,0.1433,0.988,0.9306,0.895,0.105,0.0052,0.995,469,55,15,2872,H2,H1,cross
AR ground truth,0.9489,0.226,0.9686,0.8627,0.856,0.144,0.0296,0.97,647,109,97,3179,H2,H3,cross
AR ground truth,0.9683,0.1779,0.9816,0.8877,0.815,0.185,0.00381,0.996,427,97,11,2876,H3,H1,cross
AR ground truth,0.943,0.2388,0.9571,0.9148,0.901,0.0993,0.0353,0.965,617,68,47,1284,H3,H2,cross
AR predictions,0.8566,0.3786,0.9188,0.388,0.296,0.704,0.0416,0.958,155,369,120,2767,H1,H1,self
AR predictions,0.7664,0.4834,0.8218,0.6609,0.67,0.33,0.184,0.816,459,226,245,1086,H2,H2,self
AR predictions,0.8698,0.3608,0.9246,0.524,0.382,0.618,0.0177,0.982,289,467,58,3218,H3,H3,self
AR predictions,0.4568,0.737,0.3674,0.5241,0.88,0.12,0.761,0.239,603,82,1013,318,H1,H2,cross
AR predictions,0.8219,0.422,0.9012,0.09572,0.0503,0.95,0.0,1.0,38,718,0,3276,H1,H3,cross
AR predictions,0.8566,0.3786,0.9197,0.3347,0.235,0.765,0.0305,0.97,123,401,88,2799,H2,H1,cross
AR predictions,0.7817,0.4672,0.8709,0.2949,0.243,0.757,0.094,0.906,184,572,308,2968,H2,H3,cross
AR predictions,0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H3,H1,cross
AR predictions,0.6493,0.5922,0.7644,0.3143,0.236,0.764,0.138,0.862,162,523,184,1147,H3,H2,cross
Nonparametric,0.7989,0.4485,0.8837,0.2576,0.227,0.773,0.0973,0.903,119,405,281,2606,H1,H1,self
Nonparametric,0.6528,0.5893,0.7278,0.5205,0.555,0.445,0.297,0.703,380,305,395,936,H2,H2,self
Nonparametric,0.813,0.4324,0.8896,0.39,0.319,0.681,0.073,0.927,241,515,239,3037,H3,H3,self
Nonparametric,0.6572,0.5855,0.7769,0.261,0.178,0.822,0.0962,0.904,122,563,128,1203,H1,H2,cross
Nonparametric,0.7951,0.4526,0.8787,0.3424,0.284,0.716,0.087,0.913,215,541,285,2991,H1,H3,cross
Nonparametric,0.5981,0.634,0.7313,0.2024,0.332,0.668,0.354,0.646,174,350,1021,1866,H2,H1,cross
Nonparametric,0.5957,0.6358,0.7169,0.2931,0.447,0.553,0.37,0.63,338,418,1212,2064,H2,H3,cross
Nonparametric,0.796,0.4517,0.8823,0.2335,0.202,0.798,0.0963,0.904,106,418,278,2609,H3,H1,cross
Nonparametric,0.7009,0.5469,0.8059,0.3481,0.235,0.765,0.0594,0.941,161,524,79,1252,H3,H2,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H1,H1,self
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H2,H2,self
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H3,H3,self
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H1,H2,cross
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H1,H3,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H2,H1,cross
OR (ai),0.4102,0.768,0.4413,0.3755,0.946,0.0542,0.713,0.287,715,41,2337,939,H2,H3,cross
OR (ai),0.4298,0.7551,0.4986,0.3391,0.952,0.0477,0.665,0.335,499,25,1920,967,H3,H1,cross
OR (ai),0.5382,0.6796,0.4634,0.5947,0.997,0.00292,0.698,0.302,683,2,929,402,H3,H2,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H1,H1,self
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H2,H2,self
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H3,H3,self
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H1,H2,cross
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H1,H3,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H2,H1,cross
OR (aie),0.8125,0.433,0.8966,0.0,0.0,1.0,0.0,1.0,0,756,0,3276,H2,H3,cross
OR (aie),0.8464,0.3919,0.9168,0.0,0.0,1.0,0.0,1.0,0,524,0,2887,H3,H1,cross
OR (aie),0.6602,0.5829,0.7953,0.0,0.0,1.0,0.0,1.0,0,685,0,1331,H3,H2,cross
